,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,Boston Celtics*,82,241.8,43.9,90.2,0.487,16.5,42.5,0.388,27.4,47.7,0.575,16.3,20.2,0.807,10.7,35.6,46.3,26.9,6.8,6.6,11.9,16.2,120.6,28.2,64.0,18.0,11.34,-0.6,10.75,123.2,111.6,11.6,97.2,0.224,0.471,0.609,2024
1,Oklahoma City Thunder*,82,241.5,44.5,89.3,0.499,13.3,34.2,0.389,31.3,55.1,0.567,17.7,21.5,0.825,8.8,33.2,42.0,27.1,8.5,6.6,12.7,18.8,120.1,23.4,57.0,25.0,7.41,-0.05,7.36,119.5,112.1,7.4,99.8,0.24,0.383,0.608,2024
2,Denver Nuggets*,82,240.3,44.0,88.8,0.496,11.7,31.2,0.374,32.3,57.5,0.562,15.1,19.9,0.762,10.7,33.7,44.4,29.5,7.1,5.6,12.6,18.2,114.9,27.1,57.0,25.0,5.26,-0.03,5.23,118.5,113.0,5.5,96.8,0.224,0.352,0.589,2024
3,Minnesota Timberwolves*,82,241.5,41.3,85.0,0.485,12.6,32.7,0.387,28.6,52.4,0.546,17.8,22.9,0.777,9.4,34.2,43.6,26.6,7.9,6.1,14.2,18.8,113.0,27.2,56.0,26.0,6.45,-0.07,6.39,115.6,109.0,6.6,97.1,0.27,0.384,0.594,2024
4,Los Angeles Clippers*,82,240.3,42.4,86.7,0.489,12.6,33.2,0.381,29.7,53.5,0.555,18.3,22.2,0.825,10.0,32.9,43.0,25.6,7.8,5.0,13.1,18.5,115.6,30.4,51.0,31.0,3.28,0.13,3.41,118.8,115.4,3.4,97.2,0.256,0.383,0.599,2024
5,New York Knicks*,82,240.6,41.3,88.7,0.465,13.2,35.8,0.369,28.1,52.9,0.531,17.0,21.8,0.78,12.7,32.5,45.2,24.4,7.5,4.1,13.2,17.6,112.8,26.4,50.0,32.0,4.59,-0.23,4.36,118.2,113.4,4.8,95.2,0.246,0.404,0.574,2024
6,Dallas Mavericks*,82,240.3,43.1,89.7,0.481,14.6,39.5,0.369,28.5,50.1,0.569,17.0,22.5,0.758,9.7,33.2,42.9,25.7,6.9,5.0,12.5,18.3,117.9,26.5,50.0,32.0,2.21,0.09,2.3,117.6,115.4,2.2,100.1,0.251,0.441,0.592,2024
7,New Orleans Pelicans*,82,240.3,42.5,87.4,0.486,12.5,32.6,0.383,30.0,54.8,0.548,17.6,22.8,0.771,10.4,33.6,44.0,27.0,8.3,4.6,13.0,18.4,115.1,26.0,49.0,33.0,4.41,0.05,4.46,117.4,112.9,4.5,97.9,0.261,0.373,0.591,2024
8,Phoenix Suns*,82,241.2,42.5,86.1,0.493,12.4,32.6,0.382,30.0,53.6,0.561,18.9,23.4,0.808,10.1,33.9,44.1,27.0,7.4,6.0,14.9,18.0,116.2,29.3,49.0,33.0,3.06,0.02,3.08,117.6,114.6,3.0,98.3,0.271,0.378,0.603,2024
9,Milwaukee Bucks*,82,241.5,43.1,88.5,0.487,14.2,38.1,0.373,29.0,50.4,0.574,18.5,23.9,0.774,9.4,34.8,44.2,26.5,6.8,5.0,12.9,19.2,119.0,30.2,49.0,33.0,2.62,-0.18,2.44,118.4,115.8,2.6,99.9,0.27,0.43,0.601,2024
10,Cleveland Cavaliers*,82,241.5,41.8,87.2,0.479,13.5,36.8,0.367,28.3,50.4,0.561,15.6,20.4,0.765,9.8,33.4,43.3,28.0,7.4,4.6,13.6,17.5,112.6,26.2,48.0,34.0,2.41,-0.44,1.98,115.2,112.7,2.5,97.2,0.234,0.422,0.586,2024
11,Orlando Magic*,82,241.2,40.5,84.9,0.476,11.0,31.3,0.352,29.5,53.6,0.549,18.5,24.4,0.759,10.5,31.8,42.3,24.7,8.2,5.2,14.7,19.7,110.5,24.0,47.0,35.0,2.02,-0.55,1.48,113.4,111.3,2.1,96.9,0.287,0.369,0.577,2024
12,Los Angeles Lakers*,82,242.1,43.7,87.5,0.499,11.8,31.4,0.377,31.8,56.2,0.567,18.9,24.2,0.782,8.2,34.9,43.1,28.5,7.4,5.5,14.0,15.6,118.0,28.0,47.0,35.0,0.6,0.48,1.07,115.9,115.3,0.6,100.9,0.276,0.358,0.601,2024
13,Philadelphia 76ers*,82,241.2,41.5,89.4,0.464,12.1,33.3,0.363,29.4,56.1,0.525,19.5,23.6,0.826,11.0,31.9,43.0,24.9,8.5,6.0,12.0,20.3,114.6,28.4,47.0,35.0,3.05,-0.54,2.51,116.9,113.8,3.1,97.5,0.264,0.373,0.574,2024
14,Indiana Pacers*,82,240.3,47.0,92.7,0.507,13.2,35.3,0.374,33.8,57.4,0.589,16.1,20.5,0.782,10.1,31.4,41.5,30.8,7.7,5.9,12.9,21.4,123.3,25.3,47.0,35.0,3.05,-0.3,2.75,121.0,118.0,3.0,101.7,0.222,0.38,0.606,2024
15,Sacramento Kings,82,242.1,43.3,90.9,0.477,14.4,39.3,0.366,29.0,51.7,0.561,15.5,20.9,0.745,10.8,33.2,44.0,28.3,7.6,4.2,13.1,19.9,116.6,26.4,46.0,36.0,1.74,0.55,2.29,116.9,115.2,1.7,98.8,0.229,0.432,0.582,2024
16,Golden State Warriors,82,241.8,43.7,91.6,0.477,14.8,38.9,0.38,28.9,52.7,0.548,15.6,20.0,0.78,12.1,34.6,46.7,29.3,7.0,4.6,14.3,19.5,117.8,28.4,46.0,36.0,2.61,0.16,2.77,117.8,115.2,2.6,99.2,0.219,0.425,0.586,2024
17,Miami Heat*,82,240.9,39.8,85.6,0.465,12.5,33.7,0.37,27.4,51.9,0.527,18.0,22.0,0.818,9.3,33.0,42.3,25.8,7.5,3.4,12.7,17.3,110.1,28.0,46.0,36.0,1.76,-0.66,1.1,114.0,112.2,1.8,96.2,0.257,0.394,0.578,2024
18,Houston Rockets,82,242.1,41.8,91.0,0.459,12.7,36.1,0.352,29.0,54.8,0.53,18.1,23.4,0.773,11.5,34.0,45.5,24.8,7.8,4.6,12.7,20.8,114.3,25.1,41.0,41.0,1.12,0.12,1.24,114.5,113.4,1.1,99.0,0.257,0.397,0.565,2024
19,Chicago Bulls,82,243.7,42.0,89.5,0.47,11.5,32.1,0.358,30.6,57.4,0.532,16.7,21.1,0.791,11.2,32.6,43.8,25.0,7.8,4.8,12.2,18.8,112.3,28.1,39.0,43.0,-1.44,-0.33,-1.77,114.9,116.3,-1.4,96.3,0.236,0.358,0.568,2024
